research_sentence	judgment
To investigate the effects of isotretinoin on body mass index (BMI), to determine whether isotretinoin causes any changes in serum adiponectin, leptin, and ghrelin levels in acne vulgaris patients, and to correlate variables.	1
In this study we investigated the long-term effect of d-psicose in preventing the commencement and progression of T2DM with the mechanism of preservation of pancreatic 汕-cells in OLETF rats.	1
To evaluate a three-step method of screening for COPD consisting of an initial short questionnaire followed by measurement of forced expiratory volume in 1s/forced expiratory volume in 6s (FEV1/FEV6) using an inexpensive pocket spirometer in those with high risk, and diagnostic quality spirometry in those with a low FEV1/FEV6.	1
To assess olfaction function among PD patients with Parkin mutations in Chinese population.	1
The aim of this study was to compare two clinical samples, one of males with ED and one of males who used AAS, regarding self-image and psychiatric symptoms.	1
The goals of this study were to report safety and efficacy results obtained at 6 months in patients undergoing endoscopic sleeve gastroplasty.	1
To investigate the effect of acoustically shielding the round window with 1 mm thick Silastic sheeting on middle ear sound transmission in otherwise intact cadaveric human temporal bones.	1
To compare the efficacy of AChEI monotherapy with combination memantine and AChEI therapy in patients with moderate-to-severe AD and to examine the impact of including unpublished data on the results.	1
Up to now, the relationship between adipokines and adhesion molecules at cartilage level was not explored.	1
This qualitative study was conducted to identify the causes of unsafe abortion in Iran from the standpoint of three groups of experts, women with a history of abortion or unwanted pregnancy and service providers.	1
To evaluate the clinical outcomes after kidney transplants in patients with chronic kidney diseases secondary to lupus nephritis, polycystic kidney disease and diabetes nephropathy at Pablo Tobon Uribe Hospital.	1
The aim of the present study was to determine the satisfaction level of undergraduate medical students of internal medicine department with the OSCE.	1
To evaluate the effectiveness and safety of LNS for the treatment of MAM in infants and children 6 to 59 months of age.	1
We examined rural-urban differences as it pertained to perceived barriers, benefits, and motivating factors of EHR implementation.	1
Literature review in reference to the use of LLLT in the treatment of TMDs, considering the scientific evidence level of the published studies.	1
We aimed to test the adjuvant property of ascorbate with ceftriaxone, a frequently prescribed 汕-lactam antibiotic.	1
This study aimed to evaluate socioeconomic factors in patients with Coronary Artery Diseases (CAD) in three treatment groups: Coronary Artery Bypass Grafting (CABG), Percutaneous Coronary Intervention (PCI) and drug therapy.	1
The purpose of this research was to explore relationships between the teacher characteristics of gender and teaching experience, school contextual variables (socio-economic level of school and class level), and three teacher socio-psychological variables: class level teacher expectations, teacher efficacy, and teacher goal orientation.	1
